Company;Website;Score;Primary Keyword Matches from EPO;Secondary Keyword Matches from EPO;Nuclear mentioned on website;Oil and Gas mentioned on website;Keyword Matches from Website;Tab Matches from Website;Patent #
Ecolab USA Inc;https://www.ecolab.com;260;['microbial  (primary)'];[];Y;Y;['Energy', 'Nuclear', 'Energy', 'Energy', 'Energy', 'Nuclear', 'Energy', 'Energy', 'Energy', 'Nuclear', 'energy', 'Energy', 'Nuclear', 'Energy', 'oil', 'and', 'gas', 'oil', 'and', 'gas', 'Energy', 'Energy', 'oil', 'and', 'gas', 'oil', 'and', 'gas', 'Energy', 'Energy', 'Nuclear', 'energy'];['Services', 'Products', 'Services', 'Industries', 'Products', 'Services', 'Products', 'Services'];EP3501283
EpiGan NV;https://www.epigan.com;105;['in-situ  (primary)'];[];;;['energy'];;EP3502615
Atotech Deutschland GmbH;https://www.atotech.com;150;['corrosion  (primary)'];[];;;;['Products'];EP3502320
Belenos Clean Power Holding AG;https://www.belenoscleanpower.com;120;['corrosion  (primary)'];[];;;['Energy', 'energy', 'energy', 'energy', 'energy'];;EP3503268
FG Innovation Co Ltd;https://www.onscope.com;155;['corrosion  (primary)'];[];;;['energy'];['Products'];EP3578004
Tubacex Innovacion AIE;https://www.maltaproiektua.es;135;['corrosion  (primary)'];[];;Y;['oil', 'and', 'gas', 'oil', 'and', 'gas', 'energy'];;EP3502294
Chongqing Dayou Surface Technology Co Ltd;http://en.cqdayou.com;100;['corrosion  (primary)'];[];;;;;EP3502304
Hyundai Motor Co;http://www.hyundai.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3552910
Molecular Templates Inc;https://www.mtem.com;100;['microbial  (primary)'];[];;;;;EP3575312
Nitto Denko Corp;https://www.nitto.com;100;['corrosion  (primary)'];[];;;;['Products', 'Products', 'Products'];EP3591020
BASF SE;https://www.basf.com;150;['microbial  (primary)'];[];;;;['Products', 'Industries'];EP3510867
Marrone Bio Innovations Inc;https://marronebio.com;150;['microbial  (primary)'];[];;;;['Products'];EP3504970
JFE Steel Corp;https://www.jfe-steel.co.jp;100;['corrosion  (primary)'];[];;;['Energy'];['Products'];EP3587610
Asahimekki Corp;https://bbs.fobshanghai.com;150;['corrosion  (primary)'];[];;;;['Products'];EP3511439
Koninklijke Philips NV;http://t0.gstatic.com;100;['in-situ  (primary)'];[];;;;;EP3510932
Nagoya Institute of Technology NUC;https://www.nitech.ac.jp;205;['microbial  (primary)'];[];;;['cots', 'cots'];['Services', 'Applications'];EP3514182
Indian Oil Corp Ltd;https://iocl.com;185;['corrosion  (primary)'];[];;;['Energy', 'energy'];['Products', 'Services', 'Products', 'Products'];EP3514217
Genomatica Inc;https://www.genomatica.com;175;['microbial  (primary)'];[];;;;['Products', 'Services'];EP3591056
Technische Universitaet Dresden;https://tu-dresden.de;135;['in-situ  (primary)'];[];;;['Energy', 'energy'];['Services', 'Services'];EP3518017
Swimc LLC;https://trademarks.justia.com;75;['corrosion  (primary)'];[];;;;;EP3517585
Jiangsu Liside New Material Co Ltd;http://en.liside.com;150;['corrosion  (primary)'];[];;;;['Products', 'Products'];EP3517566
Carrier Corp;http://www.corporate.carrier.com;150;[];['sensor  (secondary)', 'sensor  (secondary)'];;;;;EP3540705
Cnt Lab SRL;http://www.cnt-lab.com;100;['microbial  (primary)'];[];;;;;EP3516960
Kobe Steel Ltd;https://www.kobelco.co.jp;145;['corrosion  (primary)'];[];;;['Energy', 'Energy', 'Energy', 'Energy'];['Products', 'Products', 'Products', 'Products'];EP3521576
Dow Global Technologies LLC;https://www.dow.com;170;['corrosion  (primary)'];[];;;['Energy', 'Energy', 'energy', 'Energy', 'Energy', 'Energy', 'energy', 'Energy'];['Products', 'Products'];EP3521382
Maruha Nichiro Corp;https://www.maruha-nichiro.com;150;['microbial  (primary)'];[];;;;['Products'];EP3524323
Nippon Steel Corp;https://www.nipponsteel.com;205;['corrosion  (primary)'];['mapping  (secondary)'];;;['Energy'];['Products', 'Products'];EP3575422
Sharp Corp;https://global.sharp;150;['corrosion  (primary)'];[];;;;['Products'];EP3523980
Cook Medical Technologies LLC;https://www.cookmedical.com;150;['microbial  (primary)'];[];;;;['Products', 'Products', 'Products'];EP3527234
Linde GmbH;https://www.linde.com;105;['corrosion  (primary)'];[];;;['energy'];;EP3529211
Piab AB;https://www.piab.com;175;['microbial  (primary)'];[];;;;['Products', 'Industries'];EP3530422
Unison Industries LLC;https://www.unisonindustries.com;220;['in-situ  (primary)'];[];;;['energy', 'energy', 'energy', 'energy', 'energy', 'energy', 'energy'];['Products', 'Services', 'Applications', 'Industries'];EP3531058
Lamda Laboratories SA;https://www.lamdalabs.eu;100;['microbial  (primary)'];[];;;;['Services'];EP3530289
Baoshan Iron and Steel Co Ltd;https://www.baosteel.com;200;['corrosion  (primary)'];[];;;;['Products', 'Services', 'Sectors'];EP3546611
Schuelke and Mayr GmbH;https://www.schuelke.com;175;['microbial  (primary)'];[];;;;['Products', 'Applications'];EP3533330
3i Diagnostics Inc;https://www.3idx.com;100;['microbial  (primary)'];[];;;;;EP3533860
Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek TNO;https://www.inive.org;120;['in-situ  (primary)'];[];;;['Energy', 'Energy', 'Energy', 'Energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'Energy', 'energy', 'energy', 'Energy', 'energy', 'Energy'];;EP3536823
Versum Materials US LLC;https://www.versummaterials.com;200;['corrosion  (primary)'];[];;;;['Products', 'Services', 'Industries', 'Products'];EP3588535
