Company;Website;Score;Primary Keyword Matches from EPO;Secondary Keyword Matches from EPO;Nuclear mentioned on website;Oil and Gas mentioned on website;Keyword Matches from Website;Tab Matches from Website;Patent #
Vestel Elektronik Sanayi ve Ticaret AS;https://vestelinternational.com;250;['remote+sensor  (primary)'];['sensor  (secondary)', 'remote  (secondary)'];;;;['Products', 'Products', 'Products', 'Products'];EP3503432
Corevas & Co KG GmbH;https://www.corevas.de;200;['remote+sensor  (primary)'];['sensor  (secondary)', 'remote  (secondary)'];;;;;EP3503116
Gunnebo Entrance Control Ltd;https://www.gunneboentrancecontrol.com;150;['remote+sensor  (primary)'];['sensor  (secondary)'];;;;['Industries'];EP3503045
Unify Patente GmbH and Co KG;https://www.northdata.com;200;['remote+sensor  (primary)'];['sensor  (secondary)'];;;;['Services'];EP3506615
Korea Hydro and Nuclear Power Co Ltd;https://cbonds.com;260;['remote+sensor  (primary)'];['sensor  (secondary)', 'remote  (secondary)'];Y;;['Nuclear', 'Nuclear', 'Nuclear', 'nuclear', 'energy', 'Nuclear', 'Nuclear', 'Nuclear'];['Services'];EP3505902
Tektronix Inc;http://www.tek.com;310;['remote+sensor  (primary)'];['sensor  (secondary)', 'remote  (secondary)'];;;['Energy', 'Energy'];['Products', 'Services', 'Applications', 'Industries', 'Products', 'Services', 'Applications', 'Industries'];EP3505942
Immersion Corp;https://www.immersion.com;150;[];['sensor  (secondary)', 'mapping  (secondary)'];;;;['Services'];EP3557385
Beijing Surgerii Technology Co Ltd;https://www.crunchbase.com;150;[];['remote  (secondary)', 'mapping  (secondary)'];;;;['Products', 'Industries'];EP3508163
Globus Medical Inc;https://www.globusmedical.com;255;['remote+sensor  (primary)'];['sensor  (secondary)', 'remote  (secondary)'];;;['energy'];['Products'];EP3510927
Infineon Technologies AG;https://www.infineon.com;245;[];['sensor  (secondary)', 'sensor  (secondary)'];;;['Energy', 'energy', 'energy', 'Energy', 'energy', 'Energy', 'energy', 'Energy', 'Energy', 'energy', 'energy', 'energy', 'Energy', 'energy', 'energy', 'Energy'];['Products', 'Applications'];EP3511738
Mann and Hummel GmbH;https://www.mann-hummel.com;230;[];['sensor  (secondary)', 'sensor  (secondary)'];Y;;['Nuclear', 'Energy', 'Energy', 'Energy'];['Products'];EP3513866
Harman Professional Inc;https://pro.harman.com;250;['remote+sensor  (primary)'];['sensor  (secondary)', 'remote  (secondary)'];;;;['Products', 'Products'];EP3514662
